label,FY2020,FY2021,FY2022,FY2023,FY2024
Operating lease liabilities (current + long-term),2789.0,2864.0,2721.0,2646.0,2554.0
Total lease liabilities (operating + finance),3477.0,3916.0,4349.0,4078.0,4052.0
Finance lease liabilities (current + long-term),688.0,1052.0,1628.0,1432.0,1498.0
