check,line_item,fiscal_year,selected_value,other_value,other_accession,status
companyfacts_api,interest_expense,2024,169.0,169.0,0000909832-24-000049,MATCH
companyfacts_api,interest_income_other,2024,624.0,624.0,0000909832-24-000049,MATCH
companyfacts_api,pretax_income,2024,9740.0,9740.0,0000909832-24-000049,MATCH
companyfacts_api,income_tax,2024,2373.0,2373.0,0000909832-24-000049,MATCH
companyfacts_api,net_income_incl_nci,2024,7367.0,7367.0,0000909832-24-000049,MATCH
companyfacts_api,nci_income,2024,0.0,0.0,0000909832-24-000049,MATCH
companyfacts_api,net_income,2024,7367.0,7367.0,0000909832-24-000049,MATCH
companyfacts_api,eps_basic,2024,16.59,16.59,0000909832-24-000049,MATCH
companyfacts_api,eps_diluted,2024,16.56,16.56,0000909832-24-000049,MATCH
companyfacts_api,shares_basic,2024,443.914,443.914,0000909832-24-000049,MATCH
companyfacts_api,shares_diluted,2024,444.759,444.759,0000909832-24-000049,MATCH
companyfacts_api,cash,2019,8384.0,8384.0,0000909832-20-000017,MATCH
companyfacts_api,short_term_investments,2019,1060.0,1060.0,0000909832-20-000017,MATCH
companyfacts_api,receivables,2019,1535.0,1535.0,0000909832-20-000017,MATCH
companyfacts_api,inventories,2019,11395.0,11395.0,0000909832-20-000017,MATCH
companyfacts_api,other_current_assets,2019,1111.0,1111.0,0000909832-20-000017,MATCH
companyfacts_api,total_current_assets,2019,23485.0,23485.0,0000909832-20-000017,MATCH
companyfacts_api,ppe_net,2019,20890.0,20890.0,0000909832-20-000017,MATCH
companyfacts_api,operating_lease_rou,2019,0.0,0.0,0000909832-20-000017,MATCH
companyfacts_api,other_lt_assets,2019,1025.0,1025.0,0000909832-20-000017,MATCH
companyfacts_api,total_assets,2019,45400.0,45400.0,0000909832-20-000017,MATCH
companyfacts_api,accounts_payable,2019,11679.0,11679.0,0000909832-20-000017,MATCH
companyfacts_api,accrued_salaries,2019,3176.0,3176.0,0000909832-20-000017,MATCH
companyfacts_api,accrued_member_rewards,2019,1180.0,1180.0,0000909832-20-000017,MATCH
companyfacts_api,deferred_membership_fees,2019,1711.0,1711.0,0000909832-20-000017,MATCH
companyfacts_api,current_debt,2019,1699.0,1699.0,0000909832-20-000017,MATCH
companyfacts_api,other_current_liabilities,2019,3792.0,3792.0,0000909832-20-000017,MATCH
companyfacts_api,total_current_liabilities,2019,23237.0,23237.0,0000909832-20-000017,MATCH
companyfacts_api,long_term_debt,2019,5124.0,5124.0,0000909832-20-000017,MATCH
companyfacts_api,lt_operating_lease_liab,2019,0.0,0.0,0000909832-20-000017,MATCH
companyfacts_api,other_lt_liabilities,2019,1455.0,1455.0,0000909832-20-000017,MATCH
companyfacts_api,total_liabilities,2019,29816.0,29816.0,0000909832-20-000017,MATCH
companyfacts_api,costco_equity,2019,15243.0,15243.0,0000909832-20-000017,MATCH
companyfacts_api,nci,2019,341.0,341.0,0000909832-20-000017,MATCH
companyfacts_api,total_equity,2019,15584.0,15584.0,0000909832-20-000017,MATCH
companyfacts_api,total_liabilities_equity,2019,45400.0,45400.0,0000909832-20-000017,MATCH
companyfacts_api,shares_outstanding,2019,439.625,439.625,0000909832-20-000017,MATCH
companyfacts_api,cash,2020,12277.0,12277.0,0000909832-21-000014,MATCH
companyfacts_api,short_term_investments,2020,1028.0,1028.0,0000909832-21-000014,MATCH
companyfacts_api,receivables,2020,1550.0,1550.0,0000909832-21-000014,MATCH
companyfacts_api,inventories,2020,12242.0,12242.0,0000909832-21-000014,MATCH
companyfacts_api,other_current_assets,2020,1023.0,1023.0,0000909832-21-000014,MATCH
companyfacts_api,total_current_assets,2020,28120.0,28120.0,0000909832-21-000014,MATCH
companyfacts_api,ppe_net,2020,21807.0,21807.0,0000909832-21-000014,MATCH
companyfacts_api,operating_lease_rou,2020,2788.0,2788.0,0000909832-21-000014,MATCH
companyfacts_api,other_lt_assets,2020,2841.0,2841.0,0000909832-21-000014,MATCH
companyfacts_api,total_assets,2020,55556.0,55556.0,0000909832-21-000014,MATCH
companyfacts_api,accounts_payable,2020,14172.0,14172.0,0000909832-21-000014,MATCH
companyfacts_api,accrued_salaries,2020,3605.0,3605.0,0000909832-21-000014,MATCH
companyfacts_api,accrued_member_rewards,2020,1393.0,1393.0,0000909832-21-000014,MATCH
companyfacts_api,deferred_membership_fees,2020,1851.0,1851.0,0000909832-21-000014,MATCH
companyfacts_api,current_debt,2020,95.0,95.0,0000909832-21-000014,MATCH
companyfacts_api,other_current_liabilities,2020,3728.0,3728.0,0000909832-21-000014,MATCH
companyfacts_api,total_current_liabilities,2020,24844.0,24844.0,0000909832-21-000014,MATCH
companyfacts_api,long_term_debt,2020,7514.0,7514.0,0000909832-21-000014,MATCH
companyfacts_api,lt_operating_lease_liab,2020,2558.0,2558.0,0000909832-21-000014,MATCH
companyfacts_api,other_lt_liabilities,2020,1935.0,1935.0,0000909832-21-000014,MATCH
companyfacts_api,total_liabilities,2020,36851.0,36851.0,0000909832-21-000014,MATCH
companyfacts_api,costco_equity,2020,18284.0,18284.0,0000909832-21-000014,MATCH
companyfacts_api,nci,2020,421.0,421.0,0000909832-21-000014,MATCH
companyfacts_api,total_equity,2020,18705.0,18705.0,0000909832-21-000014,MATCH
companyfacts_api,total_liabilities_equity,2020,55556.0,55556.0,0000909832-21-000014,MATCH
companyfacts_api,shares_outstanding,2020,441.255,441.255,0000909832-21-000014,MATCH
companyfacts_api,cash,2021,11258.0,11258.0,0000909832-22-000021,MATCH
companyfacts_api,short_term_investments,2021,917.0,917.0,0000909832-22-000021,MATCH
companyfacts_api,receivables,2021,1803.0,1803.0,0000909832-22-000021,MATCH
companyfacts_api,inventories,2021,14215.0,14215.0,0000909832-22-000021,MATCH
companyfacts_api,other_current_assets,2021,1312.0,1312.0,0000909832-22-000021,MATCH
companyfacts_api,total_current_assets,2021,29505.0,29505.0,0000909832-22-000021,MATCH
companyfacts_api,ppe_net,2021,23492.0,23492.0,0000909832-22-000021,MATCH
companyfacts_api,operating_lease_rou,2021,2890.0,2890.0,0000909832-22-000021,MATCH
companyfacts_api,other_lt_assets,2021,3381.0,3381.0,0000909832-22-000021,MATCH
companyfacts_api,total_assets,2021,59268.0,59268.0,0000909832-22-000021,MATCH
companyfacts_api,accounts_payable,2021,16278.0,16278.0,0000909832-22-000021,MATCH
companyfacts_api,accrued_salaries,2021,4090.0,4090.0,0000909832-22-000021,MATCH
companyfacts_api,accrued_member_rewards,2021,1671.0,1671.0,0000909832-22-000021,MATCH
companyfacts_api,deferred_membership_fees,2021,2042.0,2042.0,0000909832-22-000021,MATCH
companyfacts_api,current_debt,2021,799.0,799.0,0000909832-22-000021,MATCH
companyfacts_api,other_current_liabilities,2021,4561.0,4561.0,0000909832-22-000021,MATCH
companyfacts_api,total_current_liabilities,2021,29441.0,29441.0,0000909832-22-000021,MATCH
