,peer_median,peer_25th,peer_75th,tier1_median,costco,costco_premium_to_median,walmart
ev_revenue,0.604149,0.535802,0.698761,0.679883,1.6633396755688645,1.7531932478172076,1.2415241645515853
ev_ebitda,8.76839,7.77075,12.0869,13.159,36.5402448633902,3.1672697929433298,20.178069201716987
pe,18.3579,15.1613,23.0076,23.9147,57.41388922064414,2.127477541277904,40.297312598207775
ps,0.560334,0.452012,0.623356,0.647966,1.6806770531311217,1.9994175914684997,1.1767105449420932
growth_adj_ev_ebitda,1.84017,1.56382,2.12914,1.5882,4.014133392264131,1.1813915002819169,3.924833521292896
