WACC \ terminal FCF,-20%,-10%,+0%,+10%,+20%
7.38%,343.36,377.217,411.074,444.931,478.788
7.88%,310.424,340.243,370.061,399.879,429.697
8.38%,283.6,310.142,336.684,363.226,389.767
8.88%,261.328,285.162,308.995,332.828,356.661
9.38%,242.54,264.099,285.657,307.216,328.774
