ticker,form,fiscal_year,period_end,filing_date,accession,local_file,url
COST,10-K,2020,2020-08-30,2020-10-07,0000909832-20-000017,data/raw/filings/COST_10-K_FY2020_2020-08-30_0000909832-20-000017.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm
COST,10-K,2021,2021-08-29,2021-10-06,0000909832-21-000014,data/raw/filings/COST_10-K_FY2021_2021-08-29_0000909832-21-000014.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm
COST,10-K,2022,2022-08-28,2022-10-05,0000909832-22-000021,data/raw/filings/COST_10-K_FY2022_2022-08-28_0000909832-22-000021.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm
COST,10-K,2023,2023-09-03,2023-10-11,0000909832-23-000042,data/raw/filings/COST_10-K_FY2023_2023-09-03_0000909832-23-000042.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm
COST,10-K,2024,2024-09-01,2024-10-09,0000909832-24-000049,data/raw/filings/COST_10-K_FY2024_2024-09-01_0000909832-24-000049.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm
COST,10-Q,2025,2024-11-24,2024-12-19,0000909832-24-000079,data/raw/filings/COST_10-Q_FY2025_2024-11-24_0000909832-24-000079.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm
