date,close,adjclose
2019-12-01,39.6133,36.1728
2020-01-01,38.1633,34.8488
2020-02-01,35.8933,32.7759
2020-03-01,37.8733,34.7370
2020-04-01,40.5167,37.1614
2020-05-01,41.3533,38.0957
2020-06-01,39.9267,36.7814
2020-07-01,43.1333,39.7354
2020-08-01,46.2833,42.8126
2020-09-01,46.6367,43.1394
2020-10-01,46.2500,42.7817
2020-11-01,50.9300,47.1108
2020-12-01,48.0500,44.6092
2021-01-01,46.8300,43.4766
2021-02-01,43.3067,40.2056
2021-03-01,45.2767,42.2100
2021-04-01,46.6367,43.4779
2021-05-01,47.3433,44.3100
2021-06-01,47.0067,43.9949
2021-07-01,47.5167,44.4722
2021-08-01,49.3667,46.3737
2021-09-01,46.4600,43.6433
2021-10-01,49.8067,46.7871
2021-11-01,46.8767,44.0347
2021-12-01,48.2300,45.4884
2022-01-01,46.6033,43.9542
2022-02-01,45.0533,42.4923
2022-03-01,49.6400,46.9993
2022-04-01,50.9967,48.2838
2022-05-01,42.8767,40.7433
2022-06-01,40.5267,38.5103
2022-07-01,44.0167,41.8266
2022-08-01,44.1833,42.1678
2022-09-01,43.2333,41.2612
2022-10-01,47.4433,45.2791
2022-11-01,50.8067,48.4890
2022-12-01,47.2633,45.2774
2023-01-01,47.9567,45.9416
2023-02-01,47.3767,45.3860
2023-03-01,49.1500,47.2778
2023-04-01,50.3233,48.4064
2023-05-01,48.9567,47.2707
2023-06-01,52.3933,50.5890
2023-07-01,53.2867,51.4516
2023-08-01,54.2033,52.5227
2023-09-01,53.3100,51.6571
2023-10-01,54.4700,52.7811
2023-11-01,51.8967,50.2876
2023-12-01,52.5500,51.1098
2024-01-01,55.0833,53.5737
2024-02-01,58.6100,57.0037
2024-03-01,60.1700,58.7202
2024-04-01,59.3500,57.9200
2024-05-01,65.7600,64.3977
2024-06-01,67.7100,66.3073
2024-07-01,68.6400,67.2180
2024-08-01,77.2300,75.8457
2024-09-01,80.7500,79.3026
2024-10-01,81.9500,80.4810
2024-11-01,92.5000,90.8419
2024-12-01,90.3500,88.9271
2025-01-01,98.1600,96.6141
