date,close,adjclose
2019-12-01,71.0200,64.7997
2020-01-01,61.2600,55.8945
2020-02-01,55.6900,51.1028
2020-03-01,52.5500,48.2214
2020-04-01,63.5400,58.3062
2020-05-01,54.3800,49.9007
2020-06-01,60.3300,55.3606
2020-07-01,65.3700,59.9854
2020-08-01,65.7500,60.6497
2020-09-01,66.4500,61.2954
2020-10-01,69.0000,63.6476
2020-11-01,81.2800,74.9750
2020-12-01,91.0900,84.0241
2021-01-01,93.8800,86.5976
2021-02-01,96.4500,89.2730
2021-03-01,96.7500,89.5507
2021-04-01,84.0400,77.7865
2021-05-01,88.3000,81.7295
2021-06-01,91.0100,84.2378
2021-07-01,89.7400,83.0623
2021-08-01,84.6100,78.6384
2021-09-01,77.5500,72.0766
2021-10-01,71.9500,66.8719
2021-11-01,71.7200,66.6581
2021-12-01,73.1700,68.0058
2022-01-01,71.4100,66.3700
2022-02-01,72.7200,68.0030
2022-03-01,78.8700,73.7540
2022-04-01,79.4500,74.2964
2022-05-01,78.6300,73.5296
2022-06-01,71.6300,66.9837
2022-07-01,66.3800,62.0742
2022-08-01,63.2700,59.5656
2022-09-01,57.5900,54.2182
2022-10-01,63.9700,60.2247
2022-11-01,71.0400,66.8807
2022-12-01,60.7800,57.2214
2023-01-01,74.3100,69.9593
2023-02-01,69.7200,66.0554
2023-03-01,71.4800,67.7229
2023-04-01,73.6800,69.8072
2023-05-01,72.4800,68.6703
2023-06-01,74.0600,70.1673
2023-07-01,77.7300,73.6444
2023-08-01,79.4800,75.7528
2023-09-01,74.4300,70.9396
2023-10-01,62.4900,59.5595
2023-11-01,67.3900,64.2297
2023-12-01,75.7800,72.2263
2024-01-01,76.0200,72.4550
2024-02-01,84.1400,80.7873
2024-03-01,84.0000,80.6529
2024-04-01,80.5900,78.3658
2024-05-01,84.1500,81.8276
2024-06-01,81.2000,78.9590
2024-07-01,91.3300,88.8094
2024-08-01,89.5800,87.7222
2024-09-01,91.7800,89.8766
2024-10-01,83.0800,81.3570
2024-11-01,89.7400,87.8789
2024-12-01,92.1700,90.2585
2025-01-01,90.9700,89.0834
