date,close,adjclose
2019-12-01,28.9900,25.0819
2020-01-01,26.8600,23.2391
2020-02-01,28.1300,24.4743
2020-03-01,30.1200,26.2057
2020-04-01,31.6100,27.5021
2020-05-01,32.6200,28.5146
2020-06-01,33.8500,29.5898
2020-07-01,34.7900,30.4115
2020-08-01,35.6800,31.3526
2020-09-01,33.9100,29.7972
2020-10-01,32.2100,28.3034
2020-11-01,33.0000,29.1612
2020-12-01,31.7600,28.0654
2021-01-01,34.5000,30.4867
2021-02-01,32.2100,28.6163
2021-03-01,35.9900,31.9746
2021-04-01,36.5400,32.4632
2021-05-01,36.9800,33.0164
2021-06-01,38.3100,34.2039
2021-07-01,40.7000,36.3377
2021-08-01,46.0300,41.2981
2021-09-01,40.4300,36.2738
2021-10-01,40.0200,35.9059
2021-11-01,41.5300,37.4467
2021-12-01,45.2600,40.8100
2022-01-01,43.5900,39.3042
2022-02-01,46.8000,42.3910
2022-03-01,57.3700,51.9652
2022-04-01,53.9600,48.8764
2022-05-01,52.9700,48.1659
2022-06-01,47.3300,43.0374
2022-07-01,46.4400,42.2281
2022-08-01,47.9400,43.8336
2022-09-01,43.7500,40.0025
2022-10-01,47.2900,43.2393
2022-11-01,49.1900,45.2262
2022-12-01,44.5800,40.9876
2023-01-01,44.6300,41.0336
2023-02-01,43.1400,39.8948
2023-03-01,49.3700,45.6561
2023-04-01,48.6300,44.9718
2023-05-01,45.3300,42.1429
2023-06-01,47.0000,43.6955
2023-07-01,48.6400,45.2202
2023-08-01,46.3900,43.3852
2023-09-01,44.7500,41.8515
2023-10-01,45.3700,42.4313
2023-11-01,44.2700,41.6761
2023-12-01,45.7100,43.0317
2024-01-01,46.1400,43.4365
2024-02-01,49.6100,47.0023
2024-03-01,57.1300,54.1271
2024-04-01,55.3800,52.4691
2024-05-01,52.3700,49.8793
2024-06-01,49.9300,47.5554
2024-07-01,54.5000,51.9080
2024-08-01,53.2100,50.9890
2024-09-01,57.3000,54.9083
2024-10-01,55.7700,53.4421
2024-11-01,61.0800,58.8492
2024-12-01,61.1500,58.9167
2025-01-01,61.6400,59.3888
